--- my_trans.txt	2022-07-21 01:45:34.299445441 -0400
+++ ref_trans.txt	2022-07-21 01:45:20.255378778 -0400
@@ -1,219 +1,219 @@
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a7cc,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a588,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a8cc,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a5c8,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a9cc,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-M 7ff000384,4 miss eviction hit
-L 7ff000384,4 hit
-L 7ff000390,8 miss eviction
-L 7ff000398,8 miss eviction
-L 00600aa08,1 miss eviction
+S 600aa0,1 miss 
+S 7ff000398,8 miss eviction 
+S 7ff000390,8 miss eviction 
+S 7ff000378,8 miss eviction 
+S 7ff000370,8 miss eviction 
+S 7ff000384,4 miss eviction 
+L 7ff000384,4 hit 
+S 7ff000388,4 miss eviction 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a20,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a60,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a24,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a70,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a28,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a80,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
